"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"211A","カドス","東S","4335","+5.0(+0.12%)","0.12","19,746","-0.98","-1.30","68.35","0.73","31.21","-0.65","21.82"
"2120","ＬＩＦＵＬＬ","東P","178","+2.0(+1.14%)","1.14","66,520","0.11","-1.77","48.33","0.43","36.69","-0.77","51.16"
"2121","ＭＩＸＩ","東P","2742","-6.0(-0.22%)","-0.22","456,133","0.11","0.10","2.31","0.61","17.50","0.11","49.18"
"2122","インタースペース","東S","1234","-33.0(-2.60%)","-2.60","28,004","-2.20","1.93","42.17","1.68","17.88","0.53","64.84"
"2124","ジェイエイシーリクルートメント","東P","1000","-15.0(-1.48%)","-1.48","149,738","-1.96","-5.82","55.04","0.76","24.26","-2.25","27.54"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","720.4","+2.8(+0.39%)","0.39","742,377","-0.16","-1.29","49.09","0.58","25.56","-1.01","42.76"
"212A","フィットイージー","東P","2466","-8.0(-0.32%)","-0.32","232,199","-3.40","-5.92","105.67","0.27","56.92","-2.40","37.59"
"2130","メンバーズ","東P","1456","-14.0(-0.95%)","-0.95","80,154","1.38","8.52","66.21","0.52","30.52","1.50","73.00"
"2134","北浜キャピタルパートナーズ","東S","42","+0.0(+0.00%)","0.00","399,688","3.96","24.85","180.00","0.49","160.34","2.10","61.54"
"2136","ヒップ","東S","1637","-3.0(-0.18%)","-0.18","983","0.07","1.67","82.91","0.07","18.66","1.25","65.25"
"2138","クルーズ","東S","602","+2.0(+0.33%)","0.33","4,404","0.80","3.79","35.59","0.90","33.61","0.83","43.24"
"2139","中広","東S","448","+0.0(+0.00%)","0.00","808","0.09","5.19","14.29","0.23","14.01","1.57","82.05"
"213A","上場インデックスファンド日経","東ETF","274.8","+6.5(+2.42%)","2.42","33,260","1.24","13.13","177.58","0.30","35.90","1.57","74.63"
"2146","ＵＴグループ","東P","212","-1.0(-0.47%)","-0.47","278,191","-0.75","3.44","8.72","0.37","25.26","0.80","63.04"
"2148","アイティメディア","東P","1725","+9.0(+0.52%)","0.52","53,292","0.71","5.59","36.26","0.37","16.08","1.31","75.26"
"2152","幼児活動研究会","東S","1530","-10.0(-0.65%)","-0.65","2,156","2.18","6.76","30.77","0.35","29.24","2.52","71.23"
"2153","Ｅ・Ｊ　ＨＬＤＧ","東P","1832","+38.0(+2.12%)","2.12","99,499","0.44","2.88","29.84","0.42","18.19","1.27","54.05"
"2154","オープンアップグループ","東P","1888","-3.0(-0.16%)","-0.16","205,870","-0.66","0.46","27.48","0.50","18.39","0.29","57.84"
"2156","セーラー広告","東S","327","-6.0(-1.80%)","-1.80","3,046","-1.62","1.82","22.01","0.73","29.61","0.36","55.56"
"2157","コシダカＨＬＤＧ","東P","1168","-43.0(-3.55%)","-3.55","323,912","-0.24","-2.41","26.82","0.63","27.32","-0.76","41.67"
"2158","ＦＲＯＮＴＥＯ","東G","843","-7.0(-0.82%)","-0.82","185,862","-2.50","-4.44","86.50","0.52","38.51","-2.42","35.36"
"215A","タイミー","東G","1378","-41.0(-2.89%)","-2.89","1,603,302","-0.26","1.64","14.83","0.79","40.37","0.34","46.59"
"2160","ジーエヌアイグループ","東G","2597","-83.0(-3.10%)","-3.10","2,458,555","-2.05","3.81","76.79","0.32","48.95","0.85","56.78"
"2162","ｎｍｓ　ＨＬＤＧ","東S","474","-5.0(-1.04%)","-1.04","1,186","-1.37","-1.42","42.34","0.15","34.95","-0.60","27.66"
"2163","アルトナー","東P","2137","-8.0(-0.37%)","-0.37","77,333","-1.12","-0.45","40.22","0.44","13.89","-0.16","33.49"
"2164","地域新聞社","東G","300","+5.0(+1.69%)","1.69","92,899","7.68","18.69","28.21","1.67","88.26","2.74","78.95"
"2168","パソナグループ","東P","2047","+2.0(+0.10%)","0.10","116,369","-0.03","1.30","11.55","0.44","22.82","0.46","53.38"
"2169","ＣＤＳ","東S","1825","+9.0(+0.50%)","0.50","2,917","0.16","0.22","6.04","0.35","5.00","0.62","54.79"
"2170","リンクアンドモチベーション","東P","509","-4.0(-0.78%)","-0.78","73,292","-1.74","-1.72","19.20","0.52","24.66","-1.01","46.84"
"2173","博展","東G","1002","-16.0(-1.57%)","-1.57","22,807","-1.28","8.76","144.39","0.68","51.61","1.20","71.59"
"2175","エス・エム・エス","東P","1695","+18.0(+1.07%)","1.07","801,034","5.36","19.43","73.19","0.63","48.90","2.50","87.95"
"2179","成学社","東S","816","-6.0(-0.73%)","-0.73","408","0.02","1.66","21.61","0.33","13.64","1.31","57.41"
"2180","サニーサイドアップグループ","東S","896","+19.0(+2.17%)","2.17","8,944","2.07","2.87","109.35","0.44","48.64","1.24","54.79"
"2181","パーソルＨＬＤＧ","東P","276.3","-1.6(-0.58%)","-0.58","642,305","-0.60","-3.92","24.80","0.50","22.57","-1.94","27.22"
"2183","リニカル","東S","314","-3.0(-0.95%)","-0.95","8,146","-0.88","2.65","21.71","2.30","33.40","0.69","61.54"
"2185","シイエム・シイ","東S","1779","-7.0(-0.39%)","-0.39","2,501","-0.12","1.01","37.59","0.33","11.00","0.43","44.32"
"2186","ソーバル","東S","914","+1.0(+0.11%)","0.11","823","0.04","0.50","14.97","0.50","5.53","0.84","60.00"
"218A","Ｌｉｂｅｒａｗａｒｅ","東G","1454","-34.0(-2.28%)","-2.28","371,932","-0.75","6.15","267.17","0.62","87.95","0.56","63.03"
"2193","クックパッド","東S","152","-3.0(-1.94%)","-1.94","48,144","-2.06","0.74","17.83","0.93","27.65","0.25","54.05"
"2195","アミタＨＬＤＧ","東G","372","-9.0(-2.36%)","-2.36","15,248","-1.95","9.15","41.44","0.22","72.50","0.54","60.66"
"2196","エスクリ","東S","167","+0.0(+0.00%)","0.00","1,736","-0.36","1.11","20.14","0.32","79.24","0.51","58.33"
"2198","アイ・ケイ・ケイＨＬＤＧ","東P","804","-1.0(-0.12%)","-0.12","2,732","0.25","0.90","8.21","0.27","10.30","1.20","64.52"
"219A","Ｈｅａｒｔｓｅｅｄ","東G","2003","+2.0(+0.10%)","0.10","291,408","-0.52","4.47","49.14","0.71","74.89","0.75","63.09"
"2201","森永製菓","東P","2762.0","+7.5(+0.27%)","0.27","359,232","-0.18","2.07","18.74","0.51","19.80","1.07","52.29"
"2204","中村屋","東S","3090","-45.0(-1.44%)","-1.44","48,704","-0.93","-0.28","3.38","2.38","7.87","-0.33","45.95"
"2206","江崎グリコ","東P","5907.0","+479.0(+8.82%)","8.82","5,568,916","6.66","8.03","35.86","7.17","23.98","4.25","70.18"
"2207","ｍｅｉｔｏ","東P","2524","+18.0(+0.72%)","0.72","95,786","0.40","2.89","38.99","0.74","16.22","1.03","58.45"
"2208","ブルボン","東S","2785","+31.0(+1.13%)","1.13","37,287","1.32","6.04","20.41","0.76","12.76","1.68","79.15"
"2209","井村屋グループ","東P","2487","+7.0(+0.28%)","0.28","31,311","-0.46","-1.48","15.67","0.22","12.93","-1.92","39.13"
"220A","Ｆａｂｅｒ　Ｃｏｍｐａｎｙ","東S","1009","+1.0(+0.10%)","0.10","1,314","-0.20","-1.15","5.88","0.31","26.22","-1.00","44.21"
"2211","不二家","東P","2513","-46.0(-1.80%)","-1.80","100,518","-1.97","-2.29","13.30","0.84","14.52","-1.15","58.85"
"2212","山崎製パン","東P","3384.0","-46.0(-1.34%)","-1.34","640,462","-1.51","0.07","37.56","0.52","24.91","0.04","51.89"
"2215","第一屋製パン","東S","615","+1.0(+0.16%)","0.16","4,413","-0.19","-1.45","28.66","0.63","18.94","-0.61","52.86"
"2216","カンロ","東S","1634","-12.0(-0.73%)","-0.73","121,987","-2.75","-1.04","16.22","0.45","43.70","-0.32","44.59"
"2217","モロゾフ","東P","1580","-2.0(-0.13%)","-0.13","48,360","-0.08","1.66","6.47","0.87","12.96","1.03","63.16"
"2218","日糧製パン","札","2287","-11.0(-0.48%)","-0.48","918","-0.38","1.10","8.90","1.33","10.80","1.07","72.16"
"221A","ＭＸＳ日経半導体株上場投信","東ETF","804.5","+34.8(+4.52%)","4.52","10,361","3.02","15.87","187.32","0.33","36.24","1.79","74.42"
"2220","亀田製菓","東P","3855","-5.0(-0.13%)","-0.13","83,553","-0.10","-0.34","7.08","0.37","19.17","-0.30","50.77"
"2221","岩塚製菓","東S","3045","+0.0(+0.00%)","0.00","6,094","0.10","0.69","18.99","0.83","6.67","1.01","50.00"
"2222","寿スピリッツ","東P","1802.5","-6.5(-0.36%)","-0.36","508,729","-0.55","-1.36","4.89","1.03","29.83","-1.08","43.46"
"2224","コモ","東S","3545","+20.0(+0.57%)","0.57","10,304","0.23","2.14","18.17","1.12","7.94","1.16","70.91"
"2226","湖池屋","東S","4660","+0.0(+0.00%)","0.00","4,666","-0.34","0.63","10.95","0.32","6.73","1.01","65.62"
"2229","カルビー","東P","3060.0","-7.0(-0.23%)","-0.23","465,012","-0.10","1.45","17.69","0.44","18.71","0.90","57.19"
"2235","上場インデックスファンド米国無","東ETF","3314.0","+26.0(+0.79%)","0.79","4,400","-1.02","-1.09","42.48","0.79","15.68","-1.00","44.49"
"2236","ＧＸ　Ｓ＆Ｐ５００　配当貴族","東ETF","1380.0","+7.0(+0.51%)","0.51","40,068","-1.34","0.50","31.68","0.56","12.43","0.22","55.31"
"2237","ダイワ　Ｓ＆Ｐ５００　２ＬＥＶ","東ETF","106900.0","+1,900.0(+1.81%)","1.81","85,377","1.96","1.28","90.35","0.84","27.93","1.25","51.07"
"2238","ダイワ　Ｓ＆Ｐ５００　インバ","東ETF","5712.0","-54.0(-0.94%)","-0.94","767","-1.01","-0.80","0.21","0.17","15.49","-1.52","47.53"
"2239","上場　Ｓ＆Ｐ５００　先物レバ２","東ETF","23225.0","+395.0(+1.73%)","1.73","58,422","1.69","1.59","91.31","0.99","29.83","1.06","53.52"
"223A","ＧＸ　ＡＩ＆ビッグデータ","東ETF","1464.0","+17.0(+1.17%)","1.17","8,139","-0.07","0.18","83.23","0.13","24.62","0.12","48.33"
"2240","上場　Ｓ＆Ｐ５００　先物インバ","東ETF","5795.0","-60.0(-1.02%)","-1.02","128","-0.92","-1.02","0.26","0.02","16.37","-1.24","42.17"
"2241","ＭＡＸＩＳ　ＮＹダウ上場投信","東ETF","846.1","-6.6(-0.77%)","-0.77","26,572","-1.30","-0.60","42.15","0.47","15.73","-0.40","48.72"
"2242","ＭＸＳ　ＮＹダウ為替ヘッジあり","東ETF","643.2","+3.9(+0.61%)","0.61","2,086","0.39","0.78","29.31","3.45","12.54","0.85","52.34"
"2243","グローバルＸ　半導体","東ETF","2937.0","+34.0(+1.17%)","1.17","233,178","-1.30","4.67","152.54","0.27","39.30","0.89","60.88"
"2244","ＧＸ　ＵＳテック・トップ２０","東ETF","3138.0","+45.0(+1.45%)","1.45","656,250","0.31","-0.48","83.19","0.57","26.70","-0.34","47.06"
"2245","ＮＦ　ドイツ国債７−１０年あり","東ETF","725.2","+1.1(+0.15%)","0.15","7","0.11","0.16","0.88","1.00","3.78","0.51","61.08"
"2247","ダイワ　Ｓ＆Ｐ５００無","東ETF","2027.0","+21.0(+1.05%)","1.05","72,375","-1.51","-0.76","53.91","0.43","25.05","-0.43","49.10"
"2248","ダイワ　Ｓ＆Ｐ５００有","東ETF","2561.0","+26.0(+1.03%)","1.03","14,450","0.99","0.92","39.56","4.59","13.48","1.17","53.70"
"2249","ダイワ　Ｓ＆Ｐ５００　ダブル","東ETF","11390.0","-215.0(-1.85%)","-1.85","35,424","-1.99","-2.02","0.75","0.57","26.58","-1.25","45.21"
"224A","ＧＸ　ウラニウムビジネス","東ETF","1957.0","-56.0(-2.78%)","-2.78","83,180","-3.67","6.16","201.08","0.40","56.47","0.67","63.35"
"2250","ｉＳ　ＭＳＣＩ　ジャパン気候","東ETF","318.4","-1.3(-0.41%)","-0.41","1,292","-2.52","-0.62","55.54","6.85","26.02","-0.20","45.95"
"2251","ＮＯＭ　ＪＰＸ国債先物　ダブル","東ETF","860.2","+4.2(+0.49%)","0.49","20,681","0.19","1.18","16.24","0.45","14.67","1.36","57.70"
"2252","グローバルＸ　米国中小型","東ETF","1341.0","+10.0(+0.75%)","0.75","1,314","-1.03","0.07","46.24","0.35","18.02","0.04","52.91"
"2253","グローバルＸ　ＳＵＰＥＲＤＩＶ","東ETF","1205.0","+12.0(+1.01%)","1.01","9,200","-1.28","0.73","19.90","0.09","13.08","0.29","59.62"
"2254","グローバルＸ　ＣＮ　ＥＶ＆ＢＡ","東ETF","1184.0","-23.0(-1.91%)","-1.91","7,084","-3.30","-2.94","61.53","0.19","29.59","-1.03","32.08"
"2255","ｉＳ　米国債２０年超　ＥＴＦ","東ETF","207.4","+0.0(+0.00%)","0.00","11,718","-0.95","-1.37","14.08","0.14","9.82","-2.01","45.10"
"2256","ｉＳ　米国総合債券　ＥＴＦ","東ETF","219.5","-3.1(-1.39%)","-1.39","8,915","-1.69","-1.86","14.14","0.06","7.77","-2.81","39.68"
"2257","ｉＳ　米ドル建て投資適格社債","東ETF","222.0","-0.2(-0.09%)","-0.09","1,748","-1.31","-1.68","15.69","0.03","8.51","-2.39","38.95"
"2258","ｉＳ　米ドル建てハイイールド","東ETF","223.6","+0.7(+0.31%)","0.31","6,835","-1.36","-1.79","19.83","0.10","10.04","-2.28","36.55"
"2259","ｉＳ　フランス国債　７−１０有","東ETF","189.0","-0.5(-0.26%)","-0.26","55","0.16","0.27","0.85","1.07","3.53","1.20","58.33"
"2264","森永乳業","東P","4052.0","+36.0(+0.90%)","0.90","966,637","1.44","5.94","49.80","0.68","22.03","2.25","70.76"
"2266","六甲バター","東P","1179","-16.0(-1.34%)","-1.34","24,179","-0.82","-2.31","4.80","0.24","16.94","-1.18","39.22"
"2267","ヤクルト本社","東P","2514.0","-39.5(-1.55%)","-1.55","1,971,765","-1.78","0.52","9.73","0.72","27.07","0.23","55.95"
"2269","明治ＨＬＤＧ","東P","3694.0","-2.0(-0.05%)","-0.05","1,943,058","0.75","4.17","28.67","0.42","18.49","1.69","71.00"
"2270","雪印メグミルク","東P","3420","-10.0(-0.29%)","-0.29","202,230","-0.96","2.78","42.80","0.47","19.68","1.02","66.67"
"2281","プリマハム","東P","2807","-23.0(-0.81%)","-0.81","183,862","-0.87","1.62","39.51","0.67","27.77","0.57","59.69"
"2282","日本ハム","東P","6970.0","-16.0(-0.23%)","-0.23","1,106,738","-0.72","2.54","58.84","0.41","30.92","0.86","66.18"
"2286","林兼産業","東S","759","-9.0(-1.17%)","-1.17","22,995","-0.84","-0.01","78.59","1.74","21.29","-0.00","66.28"
"2288","丸大食品","東P","2260","-11.0(-0.48%)","-0.48","78,361","-0.66","1.64","45.43","0.65","21.55","1.00","65.71"
"228A","オプロ","東G","1983","-17.0(-0.85%)","-0.85","9,356","-3.26","-12.41","106.56","0.47","35.55","-1.64","23.52"
"2291","福留ハム","東S","642","+1.0(+0.16%)","0.16","1,539","-0.68","1.60","10.50","0.73","36.63","0.42","47.86"
"2292","Ｓ　ＦＯＯＤＳ","東P","3110","+30.0(+0.97%)","0.97","113,587","1.40","9.28","40.03","0.33","24.58","1.59","80.37"
"2293","滝沢ハム","東S","2901","-5.0(-0.17%)","-0.17","1,456","0.17","2.48","15.81","0.83","10.13","1.30","69.08"
"2294","柿安本店","東P","2751","-18.0(-0.65%)","-0.65","39,229","-0.54","1.70","6.92","0.47","9.85","1.06","60.73"
"2296","伊藤ハム米久ＨＬＤＧ","東P","6050","+40.0(+0.67%)","0.67","235,077","0.50","4.38","64.63","0.34","14.53","1.66","88.89"
"2300","きょくとう","東S","525","-3.0(-0.57%)","-0.57","2,473","-0.64","-0.73","27.74","0.87","9.31","-0.98","31.82"
"2301","学情","東P","1774","+19.0(+1.08%)","1.08","76,726","-0.12","0.10","17.17","0.43","28.25","0.10","54.79"
"2303","ドーン","東S","2663","-24.0(-0.89%)","-0.89","6,916","-1.67","1.98","46.72","0.60","20.60","0.35","63.70"
"2304","ＣＳＳ　ＨＬＤＧ","東S","999","-4.0(-0.40%)","-0.40","1,199","-0.12","1.02","32.32","0.15","18.22","0.61","56.72"
"2305","スタジオアリス","東S","2001","-4.0(-0.20%)","-0.20","90,466","-0.46","-0.95","2.72","1.16","7.67","-2.31","36.94"
"2307","クロスキャット","東P","1035","-3.0(-0.29%)","-0.29","12,120","-0.99","-2.56","24.70","0.29","19.35","-1.54","32.37"
"2311","エプコ","東S","829","+4.0(+0.48%)","0.48","5,375","-0.29","0.47","31.59","0.45","21.07","0.27","59.30"
"2315","ＣＡＩＣＡ　ＤＩＧＩＴＡＬ","東S","103","+0.0(+0.00%)","0.00","144,379","1.18","1.94","119.15","0.66","79.48","0.32","51.16"
"2317","システナ","東P","507","-2.0(-0.39%)","-0.39","311,456","-0.90","-2.09","62.50","0.70","26.80","-2.42","36.84"
"231A","Ｃｒｏｓｓ　Ｅ　ＨＬＤＧ","福Q","1180","+3.0(+0.25%)","0.25","1,061","0.39","1.03","62.31","0.75","15.57","0.88","55.88"
"2323","ｆｏｎｆｕｎ","東S","1300","+27.0(+2.12%)","2.12","22,292","2.10","20.94","306.25","0.40","58.63","1.38","73.72"
"2325","ＮＪＳ","東P","4880","+10.0(+0.21%)","0.21","65,284","-1.61","-4.40","54.68","0.29","28.68","-1.62","44.26"
"2326","デジタルアーツ","東P","5690","-70.0(-1.22%)","-1.22","396,567","0.35","-5.79","2.89","0.66","26.27","-1.35","34.21"
"2327","日鉄ソリューションズ","東P","4506.0","-18.0(-0.40%)","-0.40","245,479","-1.30","0.48","38.26","0.20","27.55","0.31","56.61"
"2329","東北新社","東S","641","-4.0(-0.62%)","-0.62","9,445","-0.84","-0.95","30.55","0.87","18.98","-0.73","51.61"
"2330","フォーサイド","東S","172","+0.0(+0.00%)","0.00","9,520","-0.46","1.25","60.75","0.35","46.22","0.37","56.76"
"2331","ＡＬＳＯＫ","東P","1233.5","-4.0(-0.32%)","-0.32","445,340","-0.06","-0.92","24.95","0.60","19.19","-1.34","41.62"
"2332","クエスト","東S","1990","-30.0(-1.49%)","-1.49","354,541","8.44","20.46","80.74","0.45","34.67","2.83","88.20"
"2334","イオレ","東G","453","+18.0(+4.14%)","4.14","1,590,531","2.44","6.86","37.69","1.74","101.31","1.29","61.49"
"2335","キューブシステム","東P","1080","-1.0(-0.09%)","-0.09","15,154","-0.83","-2.70","20.00","0.36","21.86","-1.92","31.73"
"2337","いちご","東P","407","+0.0(+0.00%)","0.00","368,135","-0.59","-6.09","22.96","0.90","26.90","-1.64","22.22"
"2338","クオンタムソリューションズ","東S","240","-3.0(-1.23%)","-1.23","54,472","-9.77","-27.56","0.84","0.32","78.41","-2.37","26.47"
"233A","ｉＦ　インド　Ｎｉｆｔｙ５０","東ETF","1990.0","-10.0(-0.50%)","-0.50","42,957","-1.44","-4.98","17.47","0.67","14.04","-2.49","17.59"
"2340","極楽湯ＨＬＤＧ","東S","488","+1.0(+0.21%)","0.21","3,021","0.33","1.12","17.31","0.30","7.99","1.15","61.90"
"2341","アルバイトタイムス","東S","188","-1.0(-0.53%)","-0.53","1,339","0.11","1.64","39.26","0.22","22.42","0.61","38.46"
"2342","トランスジェニックグループ","東G","297","-1.0(-0.34%)","-0.34","49,777","-0.74","3.50","128.46","0.43","142.60","0.47","58.06"
"2344","平安レイサービス","東S","941","+1.0(+0.11%)","0.11","4,797","0.45","0.35","23.65","0.47","14.92","0.26","46.25"
"2345","クシム","東S","254","+5.0(+2.01%)","2.01","48,521","0.87","11.60","59.75","0.85","69.90","1.28","61.29"
"2349","エヌアイデイ","東S","2300","+12.0(+0.52%)","0.52","2,759","-0.12","0.41","4.97","0.34","18.08","0.69","57.35"
"234A","ＧＸ　ＭＳＣＩキャッシュフロ","東ETF","1353.0","+3.0(+0.22%)","0.22","2,386","-1.71","-0.04","56.96","0.29","17.88","-0.02","52.04"
"2351","ＡＳＪ","東G","306","+3.0(+0.99%)","0.99","1,499","0.66","3.27","12.92","0.13","21.07","1.42","65.91"
"2353","日本駐車場開発","東P","287","+0.0(+0.00%)","0.00","664,862","0.99","6.31","44.95","0.83","25.73","1.48","85.71"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","823","+5.0(+0.61%)","0.61","26,595","-1.22","0.38","71.10","0.16","41.50","0.09","54.45"
"2359","コア","東P","2098","+4.0(+0.19%)","0.19","25,474","0.01","0.54","42.43","0.49","20.16","0.26","50.79"
"235A","ＧＸ　高配当　３０−日本株式","東ETF","1291.0","-1.0(-0.08%)","-0.08","13,354","-0.91","0.31","44.41","0.27","13.46","0.13","52.35"
"236A","ｉＳ　日本国債７−１０年","東ETF","453.9","-1.9(-0.42%)","-0.42","3,759","-0.11","-1.08","0.40","0.69","4.49","-1.48","37.00"
"2370","メディネット","東G","31","-1.0(-3.13%)","-3.13","13,338","-3.12","2.38","14.81","0.37","46.58","0.40","44.44"
"2371","カカクコム","東P","2202.5","-24.5(-1.10%)","-1.10","890,674","-1.65","-3.32","8.87","0.83","28.27","-1.51","25.81"
"2373","ケア２１","東S","432","+1.0(+0.23%)","0.23","691","-0.09","1.04","26.69","0.26","29.51","0.48","58.54"
"2374","セントケアＨＬＤＧ","東P","1209","-2.0(-0.17%)","-0.17","49,472","-0.12","-0.11","75.98","2.49","48.94","-0.58","50.00"
"2375","ギグワークス","東S","224","-2.0(-0.88%)","-0.88","3,052","-0.80","0.27","28.74","0.25","28.11","0.11","45.83"
"2376","サイネックス","東S","740","+1.0(+0.14%)","0.14","296","-0.05","0.09","5.71","0.07","15.72","0.08","46.34"
"2378","ルネサンス","東P","1091","-2.0(-0.18%)","-0.18","55,404","-1.50","-0.71","15.33","0.73","15.71","-0.34","50.00"
"2379","ディップ","東P","2090","-27.0(-1.28%)","-1.28","645,694","-0.63","-3.91","7.57","1.01","16.43","-1.73","28.32"
"237A","ｉＳ　米国債２５年超","東ETF","163.2","-0.6(-0.37%)","-0.37","20,389","-0.55","-1.36","12.24","0.28","14.48","-1.52","47.03"
"2384","ＳＢＳ　ＨＬＤＧ","東P","3850","-15.0(-0.39%)","-0.39","62,643","-1.31","-0.57","71.49","0.49","23.00","-0.38","36.00"
"2385","総医研ＨＬＤＧ","東G","250","-1.0(-0.40%)","-0.40","15,315","-2.04","1.81","115.52","0.50","75.81","0.42","62.30"
"2388","ウェッジＨＬＤＧ","東G","63","-2.0(-3.08%)","-3.08","2,938","-1.56","-1.44","10.53","0.80","29.55","-0.64","53.33"
"2389","デジタルＨＬＤＧ","東P","2010","-4.0(-0.20%)","-0.20","7,044","-0.07","-0.18","75.70","0.07","30.25","-1.44","35.71"
"238A","ｉＳ　米国債２５年超　ベッジ有","東ETF","140.7","+0.3(+0.21%)","0.21","36,026","0.95","-0.24","2.93","0.43","14.13","-0.18","50.33"
"2391","プラネット","東S","1282","-8.0(-0.62%)","-0.62","12,971","-0.42","0.44","6.83","1.87","8.72","0.40","55.10"
"2393","日本ケアサプライ","東S","2390","-2.0(-0.08%)","-0.08","3,103","0.04","0.51","31.97","0.48","18.42","0.45","43.75"
"2395","新日本科学","東P","1592","-19.0(-1.18%)","-1.18","253,731","-1.42","-5.30","39.40","0.78","33.62","-1.11","48.34"
"2404","鉄人化ＨＬＤＧ","東S","516","+6.0(+1.18%)","1.18","1,995","1.14","3.87","24.34","0.43","20.02","1.11","61.22"
"2408","ＫＧ情報","東S","757","-13.0(-1.69%)","-1.69","58,199","1.20","7.77","37.64","1.22","26.59","1.77","69.27"
"2410","キャリアデザインセンター","東P","2491","-5.0(-0.20%)","-0.20","25,885","-0.57","0.95","64.10","0.46","16.73","0.38","59.93"
"2411","ゲンダイエージェンシー","東S","473","-8.0(-1.66%)","-1.66","53,859","-3.39","-1.52","47.81","0.59","17.40","-0.63","48.75"
"2413","エムスリー","東P","1968.5","-17.0(-0.86%)","-0.86","3,063,592","-1.14","-5.25","47.79","0.48","55.62","-2.15","35.04"
"2415","ヒューマンＨＬＤＧ","東S","1905","-28.0(-1.45%)","-1.45","5,164","-1.29","-0.66","53.63","0.40","27.96","-0.35","48.52"
"2418","ツカダ・グローバルＨＬＤＧ","東S","575","-2.0(-0.35%)","-0.35","36,032","-0.45","-0.77","38.22","0.55","31.03","-0.34","42.47"
"241A","ＲＯＸＸ","東G","595","+15.0(+2.59%)","2.59","43,035","1.40","7.72","43.03","0.59","88.69","0.47","58.56"
"2424","ブラス","東S","669","+4.0(+0.60%)","0.60","2,730","0.45","1.63","27.43","0.65","17.26","1.17","61.90"
"2425","ケアサービス","東S","811","+1.0(+0.12%)","0.12","727","0.57","1.66","12.64","0.18","11.59","1.21","50.91"
"2428","ウェルネット","東S","658","-1.0(-0.15%)","-0.15","21,289","-0.66","0.30","11.90","0.58","17.59","0.22","54.55"
"2429","ワールドＨＬＤＧ","東P","2607","+21.0(+0.81%)","0.81","136,998","-1.21","-2.88","50.69","0.63","25.19","-1.05","47.34"
"2432","ディー・エヌ・エー","東P","2547.5","+8.0(+0.32%)","0.32","1,884,986","-0.04","-0.86","15.77","0.77","27.78","-0.91","37.12"
"2433","博報堂ＤＹ　ＨＬＤＧ","東P","1173.0","-8.5(-0.72%)","-0.72","309,231","-0.71","-1.10","19.79","0.35","22.32","-0.81","47.15"
"2435","シダー","東S","216","+0.0(+0.00%)","0.00","1,921","0.09","1.22","23.43","0.42","15.05","1.02","55.56"
"2436","共同ピーアール","東S","1030","+8.0(+0.78%)","0.78","1,959","-0.12","2.23","64.27","0.73","26.52","0.96","61.33"
"2437","Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ","東S","537","+11.0(+2.09%)","2.09","45,200","2.01","29.70","127.54","1.14","79.07","2.05","89.06"
"2438","アスカネット","東G","383","-4.0(-1.03%)","-1.03","9,592","-1.90","3.42","16.06","0.58","31.98","0.88","56.63"
"2440","ぐるなび","東S","162","-3.0(-1.82%)","-1.82","59,235","-3.34","-4.19","1.89","0.66","34.80","-1.95","42.86"
"2445","タカミヤ","東P","446","+0.0(+0.00%)","0.00","27,235","-3.00","0.82","41.59","0.27","45.92","0.18","56.90"
"2449","プラップジャパン","東S","1125","-3.0(-0.27%)","-0.27","3,820","-0.30","-1.34","29.61","0.59","22.21","-0.52","45.00"
"244A","グロースエクスパートナーズ","東G","1432","-38.0(-2.59%)","-2.59","18,634","-4.48","-12.67","21.87","0.41","42.23","-2.19","27.13"
"2454","オールアバウト","東S","399","+2.0(+0.50%)","0.50","1,078","0.35","0.82","52.29","0.69","14.46","0.73","44.44"
"2459","アウンコンサルティング","東S","239","+1.0(+0.42%)","0.42","2,106","0.25","0.32","43.11","0.17","99.20","0.14","56.14"
"245A","ＩＮＧＳ","東G","2900","+5.0(+0.17%)","0.17","290","-0.71","-3.64","62.28","0.04","20.84","-1.94","24.52"
"2461","ファンコミュニケーションズ","東P","485","-6.0(-1.22%)","-1.22","38,584","-1.46","-5.17","27.97","0.38","17.34","-2.03","19.51"
"2462","ライク","東P","1523","+3.0(+0.20%)","0.20","42,959","-0.46","-0.50","19.92","0.55","8.95","-0.48","49.00"
"2464","Ａｏｂａ−ＢＢＴ","東S","341","+1.0(+0.29%)","0.29","3,797","0.35","0.86","12.91","0.97","8.92","1.56","61.54"
"2467","ＶＬＣセキュリティ","名N","195","-4.0(-2.01%)","-2.01","5,525","0.21","2.44","77.27","0.88","46.78","0.57","51.28"
"2469","ヒビノ","東S","3210","+25.0(+0.78%)","0.78","46,609","2.33","7.37","78.04","0.70","25.53","2.16","75.00"
"246A","アスア","東G","645","+0.0(+0.00%)","0.00","5,891","1.38","3.93","28.49","0.13","22.26","1.92","67.80"
