"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"1377","サカタのタネ","東P","4105","+40.0(+0.98%)","0.98","532,053","1.51","-1.89","35.26","0.81","22.29","-0.60","31.21"
"1379","ホクト","東P","1996","+16.0(+0.81%)","0.81","109,904","-0.38","-1.36","18.11","0.61","16.39","-1.61","39.55"
"137A","Ｃｏｃｏｌｉｖｅ","東G","799","-1.0(-0.13%)","-0.13","4,880","-0.47","-15.40","2.44","0.33","60.65","-1.25","28.23"
"1380","秋川牧園","東S","1013","+6.0(+0.60%)","0.60","203","0.28","0.60","8.81","0.18","8.44","1.15","56.25"
"1381","アクシーズ","東S","4330","-55.0(-1.25%)","-1.25","21,541","-1.81","3.03","69.80","0.82","47.95","0.88","60.37"
"1382","ホーブ","東S","1840","+28.0(+1.55%)","1.55","184","0.71","1.38","24.32","0.12","25.26","1.43","57.51"
"1383","ベルグアース","東S","3210","+0.0(+0.00%)","0.00","3,208","0.03","1.07","13.43","0.38","6.32","0.72","50.00"
"1384","ホクリヨウ","東S","3055","-30.0(-0.97%)","-0.97","15,984","-1.39","0.44","156.72","0.29","35.71","0.17","49.09"
"138A","光フードサービス","東G","2893","+28.0(+0.98%)","0.98","7,797","1.30","6.39","96.67","2.08","23.33","1.33","74.19"
"1397","ＳＭＤＡＭ日経２２５","東ETF","53680.0","+180.0(+0.34%)","0.34","12,714","-0.35","1.84","73.67","0.10","20.76","0.68","57.62"
"1398","ＳＭＤＡＭ東証ＲＥＩＴ指数","東ETF","2034.0","-10.5(-0.51%)","-0.51","1,892,141","-0.79","-2.25","26.37","0.38","9.75","-2.15","27.90"
"1399","上場ＭＳＣＩ日本株高配当低ボラ","東ETF","2820.0","-1.0(-0.04%)","-0.04","6,351","-0.62","1.14","43.15","2.12","16.12","0.63","61.84"
"1401","エムビーエス","東G","1501","+5.0(+0.33%)","0.33","14,117","-1.35","6.09","159.69","0.33","50.62","0.83","61.40"
"1407","ウエストＨＬＤＧ","東S","1628","+20.0(+1.24%)","1.24","408,845","-0.21","5.39","25.81","0.57","36.21","1.16","60.42"
"1414","ショーボンドＨＬＤＧ","東P","1414.5","+9.0(+0.64%)","0.64","845,225","-0.08","3.78","9.23","0.68","17.12","0.92","71.52"
"1417","ミライト・ワン","東P","3791.0","+36.0(+0.96%)","0.96","401,025","0.45","4.41","103.82","0.52","22.45","1.14","65.23"
"1418","インターライフＨＬＤＧ","東S","610","-2.0(-0.33%)","-0.33","20,830","-0.81","-8.22","102.66","0.64","35.70","-1.45","29.51"
"1419","タマホーム","東P","3715","+5.0(+0.13%)","0.13","135,373","0.08","2.58","21.80","0.46","19.74","1.11","53.25"
"141A","トライアルＨＬＤＧ","東G","3095","-40.0(-1.28%)","-1.28","1,222,549","0.75","2.77","72.52","0.41","51.48","0.57","49.23"
"1420","サンヨーホームズ","東S","719","+1.0(+0.14%)","0.14","8,328","-0.31","0.65","19.83","0.59","8.18","0.48","39.29"
"1429","日本アクア","東P","884","+1.0(+0.11%)","0.11","38,760","-1.25","-0.60","36.00","0.46","26.25","-0.35","56.56"
"142A","ジンジブ","東G","678","-7.0(-1.02%)","-1.02","891","0.92","-1.74","57.67","0.17","41.78","-0.56","40.69"
"1430","ファーストコーポレーション","東S","1034","+5.0(+0.49%)","0.49","18,527","1.00","3.35","25.18","0.93","14.41","1.23","65.83"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","639","+0.0(+0.00%)","0.00","6,461","-0.44","-2.70","13.70","0.31","22.59","-1.07","31.11"
"1433","ベステラ","東P","1338","+3.0(+0.22%)","0.22","54,567","0.34","3.57","51.70","0.36","25.15","1.53","71.03"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","1951","+24.0(+1.25%)","1.25","57,115","-0.43","18.43","170.60","0.60","59.89","1.41","71.34"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","164","-1.0(-0.61%)","-0.61","22,924","-1.91","-6.46","32.26","0.51","35.44","-1.24","37.50"
"1436","グリーンエナジー＆カンパニー","東G","2470","-5.0(-0.20%)","-0.20","8,910","-0.46","1.88","20.43","0.57","33.82","0.48","48.98"
